#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	447	0.050	259
0.076	447	0.102	260
0.127	447	0.152	262
0.177	447	0.203	266
0.229	447	0.253	269
0.279	447	0.304	276
0.330	448	0.355	278
0.380	448	0.406	282
0.431	448	0.456	283
0.482	450	0.507	281
0.533	451	0.557	280
0.583	452	0.608	277
0.634	452	0.659	275
0.684	454	0.710	271
0.735	454	0.760	279
0.786	454	0.811	295
0.837	455	0.861	323
0.887	455	0.913	358
0.938	455	0.963	400
0.988	455	1.014	446
1.040	454	1.064	492
1.090	454	1.115	538
1.141	454	1.166	581
1.191	454	1.217	619
1.242	454	1.267	650
1.293	455	1.318	670
1.344	455	1.368	678
1.394	457	1.419	678
1.445	458	1.470	667
1.495	459	1.521	649
1.546	461	1.571	620
1.597	463	1.622	583
1.648	463	1.672	543
1.698	464	1.724	498
1.749	465	1.774	452
1.799	464	1.825	408
1.851	464	1.875	366
1.901	463	1.926	330
1.952	462	1.977	302
2.002	459	2.028	284
2.053	456	2.078	277
2.104	454	2.129	280
2.155	451	2.179	291
2.205	448	2.230	312
2.256	445	2.281	342
2.306	443	2.332	378
2.357	441	2.382	420
2.408	439	2.433	464
2.459	439	2.484	509
2.509	440	2.535	553
2.560	441	2.586	593
2.610	443	2.636	627
2.662	447	2.687	652
2.712	450	2.737	668
2.763	454	2.789	674
2.813	459	2.839	670
2.864	463	2.890	657
2.915	468	2.940	635
2.966	472	2.991	605
3.016	475	3.042	569
3.067	477	3.093	527
3.117	478	3.143	483
3.168	479	3.194	438
3.219	478	3.244	396
3.270	475	3.295	357
3.320	472	3.346	325
3.371	468	3.397	301
3.421	462	3.447	287
3.473	456	3.498	284
3.523	450	3.548	289
3.574	443	3.600	305
3.624	438	3.650	331
3.675	434	3.701	363
3.726	430	3.751	403
3.777	427	3.802	445
3.827	425	3.853	488
3.878	426	3.904	532
3.928	427	3.954	571
3.979	430	4.005	607
4.030	435	4.055	635
4.081	442	4.106	655
4.131	448	4.157	666
4.182	456	4.208	666
4.232	464	4.258	658
4.284	472	4.309	641
4.334	479	4.359	617
4.385	485	4.411	583
4.435	489	4.461	546
4.486	492	4.512	504
4.537	493	4.562	461
4.588	492	4.613	419
4.638	489	4.664	381
4.689	485	4.715	346
4.739	479	4.765	319
4.790	471	4.816	301
4.841	463	4.866	292
4.892	453	4.917	294
4.942	444	4.968	304
4.993	435	5.019	323
5.043	427	5.069	351
5.095	421	5.120	386
5.145	416	5.170	425
5.196	412	5.222	465
5.246	412	5.272	507
5.297	414	5.323	547
5.348	417	5.373	583
5.399	423	5.424	614
5.449	431	5.475	638
5.500	440	5.526	655
5.550	450	5.576	659
5.602	460	5.627	656
5.652	472	5.677	645
5.703	481	5.728	625
5.753	490	5.779	597
5.804	498	5.830	564
5.854	503	5.880	525
5.906	506	5.931	485
5.956	506	5.981	444
6.007	504	6.033	405
6.057	498	6.083	370
6.108	492	6.134	340
6.159	482	6.184	319
6.210	472	6.235	304
6.260	460	6.286	301
6.311	447	6.337	305
6.361	435	6.387	319
6.413	425	6.438	341
6.463	414	6.488	371
6.514	408	6.539	407
6.564	401	6.590	445
6.615	399	6.641	485
6.665	400	6.691	523
6.717	404	6.742	561
6.767	409	6.792	593
6.818	418	6.844	621
6.868	429	6.894	639
6.919	441	6.945	649
6.970	454	6.995	650
7.021	469	7.046	644
7.071	481	7.097	628
7.122	493	7.148	606
7.172	503	7.198	577
7.224	512	7.249	543
7.274	517	7.299	506
7.325	519	7.350	465
